Pokemon_1,Pokemon_2,Winner
Magnezone,Glalie,Glalie
Drifblim,VenusaurMega Venusaur,VenusaurMega Venusaur
Nidorina,Ampharos,Ampharos
Barbaracle,Beldum,Barbaracle
Spheal,Excadrill,Excadrill
Gurdurr,Solosis,Gurdurr
Goomy,Snorlax,Snorlax
Lopunny,ThundurusTherian Forme,ThundurusTherian Forme
Galvantula,Cherrim,Galvantula
Misdreavus,Durant,Durant
Trevenant,Gyarados,Gyarados
Escavalier,Timburr,Escavalier
Slowpoke,Pinsir,Pinsir
DeoxysDefense Forme,Charmander,DeoxysDefense Forme
Golurk,Dusclops,Golurk
Slowpoke,Gyarados,Gyarados
AerodactylMega Aerodactyl,Gogoat,Gogoat
Pachirisu,Lombre,Lombre
Pansear,Goomy,Goomy
Spearow,Beldum,Beldum
Loudred,Golduck,Golduck
Crobat,Combee,Crobat
GlalieMega Glalie,Umbreon,Umbreon
SwampertMega Swampert,KeldeoResolute Forme,KeldeoResolute Forme
Butterfree,Ursaring,Ursaring
DeoxysSpeed Forme,Pidgeotto,DeoxysSpeed Forme
Breloom,Lilligant,Lilligant
Jumpluff,TornadusTherian Forme,TornadusTherian Forme
Roselia,Infernape,Infernape
Skiploom,Ivysaur,Ivysaur
Octillery,Kyurem,Kyurem
Diglett,Pignite,Pignite
Happiny,Huntail,Huntail
Persian,Magby,Magby
GengarMega Gengar,Exploud,Exploud
Makuhita,Rattata,Rattata
Phione,Cryogonal,Cryogonal
Corphish,Clauncher,Clauncher
MeloettaAria Forme,Pikachu,MeloettaAria Forme
Golurk,Lotad,Golurk
Tyrantrum,Vullaby,Tyrantrum
Girafarig,Vanillite,Girafarig
Beedrill,Alomomola,Beedrill
Mothim,GalladeMega Gallade,GalladeMega Gallade
Ludicolo,Wailmer,Wailmer
Larvesta,Pyroar,Pyroar
Leafeon,Seadra,Seadra
Jynx,Barbaracle,Barbaracle
Elgyem,Liepard,Liepard
WormadamSandy Cloak,Solrock,Solrock
Lunatone,Mr. Mime,Mr. Mime
Omanyte,Fearow,Fearow
Walrein,Floette,Walrein
Ferrothorn,Wartortle,Wartortle
RotomFan Rotom,Swellow,Swellow
Wurmple,Murkrow,Murkrow
Dedenne,KyuremWhite Kyurem,KyuremWhite Kyurem
Spritzee,Fearow,Fearow
RotomFrost Rotom,Relicanth,Relicanth
SceptileMega Sceptile,Hippowdon,SceptileMega Sceptile
Cinccino,Drapion,Cinccino
TornadusTherian Forme,Tyranitar,Tyranitar
Cherubi,Kabuto,Kabuto
Oddish,Gengar,Gengar
Pelipper,Dodrio,Dodrio
Venomoth,DiancieMega Diancie,DiancieMega Diancie
Bagon,Wailord,Wailord
Skrelp,Goomy,Goomy
Latios,Skitty,Latios
Meditite,Croconaw,Croconaw
Torkoal,Munna,Torkoal
Bellsprout,Flygon,Flygon
Escavalier,Electabuzz,Electabuzz
LandorusIncarnate Forme,Kangaskhan,LandorusIncarnate Forme
Relicanth,MetagrossMega Metagross,MetagrossMega Metagross
Bonsly,Gothita,Gothita
Mewtwo,Combusken,Mewtwo
Misdreavus,Pansear,Misdreavus
Paras,Beartic,Beartic
Dewgong,Shedinja,Dewgong
HoopaHoopa Unbound,Drowzee,HoopaHoopa Unbound
Crustle,Jolteon,Jolteon
Carvanha,Minccino,Minccino
Kakuna,BlazikenMega Blaziken,BlazikenMega Blaziken
Ninjask,Hoppip,Ninjask
Aerodactyl,Pidgey,Aerodactyl
Mr. Mime,Samurott,Samurott
Cresselia,Shinx,Cresselia
Cradily,SlowbroMega Slowbro,SlowbroMega Slowbro
Sunkern,MetagrossMega Metagross,MetagrossMega Metagross
Pawniard,Magmar,Magmar
Boldore,Timburr,Timburr
Gengar,Clefairy,Gengar
PumpkabooAverage Size,Graveler,PumpkabooAverage Size
Chatot,GalladeMega Gallade,GalladeMega Gallade
Muk,Articuno,Articuno
Aromatisse,Tyrunt,Tyrunt
Regigigas,Nuzleaf,Regigigas
Kyurem,Totodile,Kyurem
Spinda,Claydol,Claydol
Squirtle,Cresselia,Cresselia
Marshtomp,HoundoomMega Houndoom,HoundoomMega Houndoom
Meditite,Azurill,Meditite
Torchic,Cubchoo,Cubchoo
Blissey,Masquerain,Blissey
KeldeoResolute Forme,Tranquill,KeldeoResolute Forme
Raichu,Pancham,Raichu
Muk,Trevenant,Trevenant
GourgeistSuper Size,Phanpy,GourgeistSuper Size
Lunatone,Porygon,Lunatone
Weepinbell,Heliolisk,Heliolisk
Ampharos,Seadra,Seadra
Delibird,ShayminSky Forme,ShayminSky Forme
Magnezone,Nosepass,Magnezone
Shelmet,Shiftry,Shiftry
RotomWash Rotom,Claydol,Claydol
DeoxysAttack Forme,AmpharosMega Ampharos,DeoxysAttack Forme
Porygon-Z,Surskit,Porygon-Z
Unfezant,Trubbish,Unfezant
Wailord,Krookodile,Krookodile
Torterra,Kirlia,Torterra
Musharna,Skuntank,Skuntank
Tangela,Luvdisc,Tangela
Sealeo,Golurk,Golurk
Yamask,Riolu,Riolu
Growlithe,Whismur,Growlithe
Weavile,Lugia,Lugia
Psyduck,Doduo,Doduo
Hoothoot,Magnemite,Magnemite
Drowzee,HeracrossMega Heracross,HeracrossMega Heracross
Fearow,Quagsire,Fearow
Ducklett,Vespiquen,Vespiquen
Croagunk,Mankey,Mankey
Arcanine,Rampardos,Rampardos
Snubbull,Lillipup,Lillipup
Parasect,Palpitoad,Palpitoad
Totodile,Shiftry,Shiftry
Combusken,Empoleon,Empoleon
Sealeo,Honchkrow,Honchkrow
Leafeon,Sharpedo,Sharpedo
Vibrava,Lanturn,Lanturn
Burmy,Clefable,Clefable
Chikorita,Barboach,Barboach
Burmy,Vullaby,Vullaby
Rhydon,Regirock,Regirock
Cranidos,Granbull,Cranidos
Vullaby,Hoothoot,Vullaby
Sawsbuck,Porygon,Porygon
Exeggutor,MeowsticMale,MeowsticMale
Piplup,Grovyle,Grovyle
Spewpa,Espeon,Espeon
Spheal,Burmy,Burmy
Minccino,Groudon,Groudon
Accelgor,Weedle,Accelgor
Houndour,Banette,Banette
Diggersby,Rhyhorn,Diggersby
SceptileMega Sceptile,Carnivine,SceptileMega Sceptile
Anorith,Dunsparce,Anorith
Herdier,ScizorMega Scizor,ScizorMega Scizor
Starmie,Spheal,Starmie
WormadamPlant Cloak,Amoonguss,WormadamPlant Cloak
Chingling,Klefki,Klefki
Umbreon,Sentret,Umbreon
Shiftry,Celebi,Celebi
Goomy,Mr. Mime,Mr. Mime
Tyrantrum,Teddiursa,Tyrantrum
Snover,Pidgeotto,Pidgeotto
Minun,Mightyena,Minun
Castform,DeoxysNormal Forme,DeoxysNormal Forme
Blaziken,Gliscor,Gliscor
Staryu,LopunnyMega Lopunny,LopunnyMega Lopunny
Grimer,Lairon,Lairon
Cherrim,Wartortle,Cherrim
Victreebel,Electrike,Victreebel
PumpkabooSmall Size,Abomasnow,Abomasnow
Whiscash,Slugma,Whiscash
Greninja,Zebstrika,Greninja
Pidgey,HoopaHoopa Unbound,HoopaHoopa Unbound
Nosepass,Hitmonchan,Hitmonchan
Ludicolo,Seadra,Seadra
Klang,Steelix,Steelix
Lickilicky,Paras,Lickilicky
Gothitelle,Beautifly,Gothitelle
Treecko,Drifloon,Drifloon
Remoraid,Vanilluxe,Vanilluxe
Quilladin,Totodile,Quilladin
Milotic,Lanturn,Milotic
BeedrillMega Beedrill,Joltik,BeedrillMega Beedrill
Corphish,Whirlipede,Whirlipede
Whimsicott,Dugtrio,Dugtrio
Sliggoo,SableyeMega Sableye,Sliggoo
Dragonair,Sharpedo,Sharpedo
Prinplup,Oddish,Oddish
Skiploom,Munchlax,Munchlax
Trevenant,LopunnyMega Lopunny,LopunnyMega Lopunny
Sentret,Illumise,Illumise
Gallade,Wynaut,Gallade
Umbreon,Victini,Victini
Blaziken,Deino,Blaziken
Xerneas,Poochyena,Xerneas
Rhyperior,Wobbuffet,Rhyperior
Dusknoir,Cottonee,Dusknoir
Lucario,Fearow,Fearow
Ditto,SceptileMega Sceptile,SceptileMega Sceptile
Feraligatr,KeldeoOrdinary Forme,KeldeoOrdinary Forme
Beldum,Snorunt,Snorunt
Honchkrow,Simisage,Simisage
Kadabra,Porygon2,Porygon2
VenusaurMega Venusaur,Emolga,VenusaurMega Venusaur
Umbreon,Staravia,Umbreon
Dustox,Lunatone,Lunatone
Raticate,Cloyster,Raticate
Liepard,Absol,Absol
Cleffa,Furfrou,Furfrou
Tangela,DarmanitanZen Mode,DarmanitanZen Mode
Gothita,Swanna,Swanna
Klefki,Furret,Furret
Arcanine,Masquerain,Arcanine
Sableye,Seismitoad,Seismitoad
Nidoran♀,Togetic,Togetic
Tentacool,Corphish,Tentacool
Chimchar,Sliggoo,Sliggoo
Nuzleaf,Vivillon,Vivillon
Sharpedo,Grotle,Grotle
Cinccino,Cacturne,Cinccino
Voltorb,Lotad,Voltorb
Masquerain,DeoxysNormal Forme,DeoxysNormal Forme
Eevee,Wynaut,Wynaut
Vanillite,Dragonite,Dragonite
Virizion,Skuntank,Virizion
Krabby,Gastly,Gastly
Blastoise,Houndoom,Houndoom
AudinoMega Audino,GengarMega Gengar,GengarMega Gengar
Pidgeot,Excadrill,Excadrill
Reshiram,CharizardMega Charizard X,CharizardMega Charizard X
Haxorus,Floette,Haxorus
Kabutops,Combusken,Combusken
Spearow,Frillish,Frillish
Igglybuff,Bastiodon,Bastiodon
Persian,Doublade,Doublade
Clamperl,Simipour,Simipour
Pichu,Mudkip,Mudkip
Pelipper,Finneon,Pelipper
Gothitelle,Cacturne,Cacturne
Lombre,Cryogonal,Cryogonal
Mismagius,Geodude,Mismagius
Gothita,Girafarig,Girafarig
Lumineon,Skiploom,Lumineon
Magikarp,Ambipom,Ambipom
Poliwrath,Frillish,Poliwrath
Kabuto,Ducklett,Kabuto
Mr. Mime,Zangoose,Zangoose
Purugly,Yanmega,Purugly
Dragonair,MeloettaPirouette Forme,MeloettaPirouette Forme
Garchomp,Staraptor,Staraptor
Cobalion,Gastrodon,Cobalion
Durant,Weedle,Durant
Medicham,Magnezone,Magnezone
Surskit,Darkrai,Darkrai
Seaking,SalamenceMega Salamence,SalamenceMega Salamence
Rapidash,Lanturn,Lanturn
Pansage,BlastoiseMega Blastoise,BlastoiseMega Blastoise
Lillipup,Riolu,Riolu
Pidgeot,Kyogre,Kyogre
Drifblim,Cloyster,Drifblim
Elgyem,Groudon,Groudon
Diancie,LandorusTherian Forme,LandorusTherian Forme
Barboach,Ferroseed,Ferroseed
Silcoon,Croagunk,Croagunk
Rattata,Starmie,Starmie
Mamoswine,Dwebble,Mamoswine
Aipom,Kakuna,Aipom
Donphan,CameruptMega Camerupt,Donphan
Mienshao,Zweilous,Mienshao
Swoobat,Azelf,Azelf
Cyndaquil,DeoxysNormal Forme,DeoxysNormal Forme
Poliwhirl,Bulbasaur,Bulbasaur
SalamenceMega Salamence,Eelektrik,SalamenceMega Salamence
Vileplume,Charmander,Vileplume
Deino,Pineco,Deino
Tranquill,Mankey,Mankey
Dwebble,Machamp,Machamp
Beautifly,AerodactylMega Aerodactyl,AerodactylMega Aerodactyl
Bergmite,Typhlosion,Typhlosion
MeowsticFemale,Spoink,MeowsticFemale
AudinoMega Audino,Munna,AudinoMega Audino
Beautifly,Exeggcute,Beautifly
Florges,Volcanion,Florges
Litleo,Golurk,Golurk
Charizard,Houndoom,Houndoom
Mismagius,Taillow,Mismagius
Mantyke,SlowbroMega Slowbro,SlowbroMega Slowbro
ThundurusTherian Forme,Silcoon,ThundurusTherian Forme
Hydreigon,Tyrogue,Hydreigon
Serperior,Yamask,Serperior
Wailmer,Golem,Wailmer
Clamperl,Latias,Latias
Clefable,Litleo,Clefable
Duskull,Seaking,Seaking
Golem,Zebstrika,Zebstrika
Wobbuffet,Carvanha,Wobbuffet
Eevee,Arcanine,Arcanine
Hariyama,Palpitoad,Palpitoad
Klinklang,Bellossom,Bellossom
Togepi,DarmanitanZen Mode,DarmanitanZen Mode
Boldore,DeoxysNormal Forme,DeoxysNormal Forme
Nidoking,Nidorino,Nidoking
Miltank,Gurdurr,Miltank
Greninja,Dodrio,Dodrio
Suicune,Crawdaunt,Suicune
Klinklang,Typhlosion,Typhlosion
Dusknoir,Meowth,Dusknoir
Maractus,Garchomp,Garchomp
Ursaring,Regigigas,Regigigas
Metagross,Dusknoir,Metagross
Drilbur,Treecko,Treecko
Avalugg,SwampertMega Swampert,SwampertMega Swampert
Alomomola,Xatu,Xatu
Castform,Moltres,Moltres
KyuremWhite Kyurem,Kabutops,KyuremWhite Kyurem
Grimer,Greninja,Greninja
Mawile,Goodra,Goodra
Wailmer,Spewpa,Wailmer
Mismagius,Diggersby,Diggersby
Machop,Snorunt,Snorunt
Vileplume,Leafeon,Leafeon
Banette,Cranidos,Banette
GiratinaAltered Forme,Volbeat,GiratinaAltered Forme
Arceus,Shiftry,Arceus
Goldeen,Milotic,Milotic
Bellossom,Makuhita,Bellossom
Abra,Amaura,Abra
Bayleef,Primeape,Primeape
Volbeat,Snubbull,Volbeat
Steelix,Abra,Steelix
Basculin,Pidgeot,Pidgeot
Empoleon,Lotad,Empoleon
Scrafty,Gothita,Scrafty
Duosion,Chimecho,Chimecho
Delibird,Tyranitar,Tyranitar
Seel,Gorebyss,Gorebyss
Flygon,SteelixMega Steelix,SteelixMega Steelix
Togekiss,Happiny,Togekiss
Banette,Yveltal,Yveltal
Quilladin,Skiploom,Skiploom
Sealeo,Chespin,Sealeo
Venomoth,Eelektross,Venomoth
Roserade,Kingdra,Kingdra
Igglybuff,Arcanine,Arcanine
Slowpoke,Doduo,Doduo
Vileplume,Dewott,Dewott
Zoroark,ThundurusIncarnate Forme,ThundurusIncarnate Forme
Elekid,Gabite,Gabite
Spearow,Raichu,Raichu
Regice,Shellos,Regice
Swampert,Ekans,Swampert
Kingdra,Piloswine,Kingdra
Gyarados,PinsirMega Pinsir,PinsirMega Pinsir
KyuremBlack Kyurem,MeloettaAria Forme,KyuremBlack Kyurem
Spinda,Pawniard,Spinda
Trevenant,Pignite,Trevenant
Virizion,Heracross,Heracross
Ursaring,Klefki,Klefki
Probopass,Sceptile,Sceptile
DeoxysDefense Forme,AltariaMega Altaria,AltariaMega Altaria
Abomasnow,Slowbro,Abomasnow
Unfezant,Gliscor,Gliscor
Munna,Kyogre,Kyogre
GlalieMega Glalie,Abra,GlalieMega Glalie
Slurpuff,Marowak,Slurpuff
Charmeleon,Latias,Latias
Nincada,Clauncher,Clauncher
Sneasel,Budew,Sneasel
Bonsly,Azumarill,Azumarill
Glaceon,Scatterbug,Glaceon
Roserade,SceptileMega Sceptile,SceptileMega Sceptile
Vivillon,Krabby,Vivillon
Abomasnow,Marshtomp,Abomasnow
DarmanitanStandard Mode,Teddiursa,DarmanitanStandard Mode
Durant,Vanillite,Durant
Gothita,Spritzee,Spritzee
Chikorita,Relicanth,Relicanth
PumpkabooLarge Size,Stoutland,Stoutland
Pidgey,Samurott,Samurott
Timburr,Pineco,Timburr
Porygon2,Tyrunt,Porygon2
Maractus,Zoroark,Zoroark
Camerupt,Lillipup,Camerupt
Spiritomb,Lucario,Lucario
RayquazaMega Rayquaza,Umbreon,RayquazaMega Rayquaza
Servine,Tirtouga,Tirtouga
Kyurem,Larvitar,Kyurem
Jigglypuff,Pikachu,Pikachu
Starly,Miltank,Miltank
Jirachi,Golett,Jirachi
Smeargle,Corsola,Corsola
Sylveon,Musharna,Sylveon
Piplup,Zebstrika,Zebstrika
KangaskhanMega Kangaskhan,Phantump,KangaskhanMega Kangaskhan
Noibat,Zigzagoon,Zigzagoon
RotomMow Rotom,Karrablast,RotomMow Rotom
Heracross,Whismur,Heracross
Taillow,Tyrunt,Tyrunt
Furret,Sneasel,Sneasel
Taillow,Boldore,Boldore
Bonsly,Zweilous,Zweilous
Gabite,Sylveon,Sylveon
Mienfoo,Escavalier,Escavalier
Xerneas,Excadrill,Xerneas
Clefable,Swalot,Clefable
DarmanitanZen Mode,Gorebyss,Gorebyss
Swadloon,Bidoof,Swadloon
Amaura,Woobat,Woobat
Feebas,Sunkern,Feebas
Lanturn,Exeggcute,Lanturn
Gloom,Delibird,Delibird
Whismur,Frogadier,Frogadier
Croagunk,Cubone,Cubone
Exeggcute,Electivire,Electivire
Baltoy,Cinccino,Cinccino
Gogoat,Staravia,Gogoat
Petilil,Skarmory,Skarmory
Klink,BlastoiseMega Blastoise,BlastoiseMega Blastoise
Seaking,Cubchoo,Seaking
Bellossom,RayquazaMega Rayquaza,RayquazaMega Rayquaza
Lillipup,Houndour,Houndour
Gorebyss,Torterra,Torterra
Clefairy,Gengar,Gengar
Happiny,PumpkabooSmall Size,PumpkabooSmall Size
GalladeMega Gallade,Dratini,GalladeMega Gallade
Seedot,Flareon,Flareon
Cobalion,Gulpin,Cobalion
Beedrill,Dewgong,Dewgong
Walrein,Petilil,Walrein
Slakoth,Rattata,Rattata
Sentret,Forretress,Forretress
Lunatone,Quilladin,Lunatone
Kingler,Barboach,Kingler
Doduo,MeowsticMale,MeowsticMale
Ponyta,Dusclops,Dusclops
Huntail,Exeggcute,Huntail
Teddiursa,Hoppip,Teddiursa
Castform,Chesnaught,Castform
Fraxure,Seedot,Fraxure
Pikachu,Totodile,Pikachu
Aggron,Skrelp,Aggron
Corsola,Pangoro,Pangoro
Bastiodon,PidgeotMega Pidgeot,PidgeotMega Pidgeot
Aggron,RotomMow Rotom,RotomMow Rotom
Cobalion,Honedge,Cobalion
AltariaMega Altaria,Minun,AltariaMega Altaria
Tepig,Charmander,Charmander
Lotad,Sandile,Sandile
Baltoy,Snivy,Snivy
Roggenrola,Patrat,Patrat
BlazikenMega Blaziken,MedichamMega Medicham,BlazikenMega Blaziken
Mew,Kingdra,Kingdra
Shelmet,Tangrowth,Tangrowth
Umbreon,Cinccino,Cinccino
Bisharp,Pachirisu,Pachirisu
Flareon,Bidoof,Flareon
Dwebble,Pidove,Dwebble
Rayquaza,Dugtrio,Rayquaza
Groudon,Wailord,Groudon
BanetteMega Banette,PumpkabooSuper Size,BanetteMega Banette
Masquerain,Charizard,Charizard
Mantine,Kabutops,Kabutops
Cubchoo,Teddiursa,Teddiursa
Purugly,Rayquaza,Rayquaza
Kingdra,Duosion,Kingdra
Mew,Vivillon,Mew
Aerodactyl,Manectric,Manectric
Diggersby,LucarioMega Lucario,LucarioMega Lucario
Chinchou,Machoke,Machoke
Skiploom,Delphox,Delphox
Dewott,Cresselia,Cresselia
MetagrossMega Metagross,Terrakion,MetagrossMega Metagross
Skarmory,Simisear,Simisear
Pidove,Scrafty,Scrafty
Simipour,Watchog,Watchog
Makuhita,KyogrePrimal Kyogre,KyogrePrimal Kyogre
Spritzee,Slaking,Slaking
Ledian,Shinx,Ledian
Prinplup,Abomasnow,Abomasnow
Squirtle,MeowsticFemale,MeowsticFemale
Haunter,Igglybuff,Haunter
Silcoon,Zapdos,Zapdos
Malamar,Horsea,Malamar
Ledyba,Mewtwo,Mewtwo
Blitzle,Bibarel,Bibarel
Scatterbug,Octillery,Octillery
Emolga,Pineco,Emolga
Kangaskhan,Bastiodon,Bastiodon
Chimecho,Tentacool,Tentacool
Bergmite,Misdreavus,Misdreavus
Kadabra,Igglybuff,Kadabra
Cacturne,Shroomish,Cacturne
AggronMega Aggron,Swalot,AggronMega Aggron
Weedle,BanetteMega Banette,BanetteMega Banette
Sylveon,Gigalith,Gigalith
Pachirisu,GourgeistSmall Size,GourgeistSmall Size
Simipour,Golurk,Simipour
Walrein,Volcarona,Volcarona
Wigglytuff,Latios,Latios
Lileep,Metagross,Metagross
Cleffa,Typhlosion,Typhlosion
Groudon,Exploud,Groudon
Latios,Vanilluxe,Vanilluxe
GardevoirMega Gardevoir,DeoxysSpeed Forme,DeoxysSpeed Forme
Buneary,Krokorok,Buneary
Swalot,DarmanitanZen Mode,Swalot
Venomoth,Sliggoo,Venomoth
Vanillish,Swadloon,Vanillish
Litleo,Castform,Castform
Cherubi,Totodile,Totodile
Pignite,Cubone,Pignite
Jigglypuff,PumpkabooAverage Size,PumpkabooAverage Size
Lickitung,Malamar,Malamar
CharizardMega Charizard X,Venusaur,CharizardMega Charizard X
GalladeMega Gallade,AlakazamMega Alakazam,AlakazamMega Alakazam
KyuremWhite Kyurem,Froslass,KyuremWhite Kyurem
Armaldo,Ferroseed,Armaldo
Beedrill,Regigigas,Regigigas
Drowzee,Tyrunt,Tyrunt
Furret,Dragonite,Dragonite
Golurk,Rotom,Rotom
Riolu,Nidorino,Nidorino
Wartortle,Emolga,Emolga
Flaaffy,Petilil,Flaaffy
Charmander,RotomHeat Rotom,RotomHeat Rotom
Hoppip,Palkia,Palkia
Glameow,Zangoose,Zangoose
Gligar,Trapinch,Gligar
Klink,Feraligatr,Feraligatr
Serperior,Gothitelle,Gothitelle
Haxorus,Mudkip,Haxorus
Froakie,Shelgon,Shelgon
ThundurusTherian Forme,RotomFan Rotom,RotomFan Rotom
Chikorita,Koffing,Koffing
Cyndaquil,Onix,Onix
Nosepass,Bulbasaur,Bulbasaur
Bulbasaur,Pichu,Bulbasaur
Alomomola,Natu,Alomomola
Cyndaquil,Sandslash,Sandslash
Grimer,Kabutops,Kabutops
Vaporeon,Florges,Florges
Zorua,Igglybuff,Zorua
Aron,Cofagrigus,Cofagrigus
Chansey,Murkrow,Murkrow
LopunnyMega Lopunny,Wailmer,LopunnyMega Lopunny
Flygon,Shiftry,Shiftry
KyuremWhite Kyurem,Xerneas,Xerneas
Beartic,Crustle,Beartic
Mismagius,GengarMega Gengar,GengarMega Gengar
HoundoomMega Houndoom,Gigalith,HoundoomMega Houndoom
Darkrai,Klink,Darkrai
RotomFrost Rotom,Duosion,RotomFrost Rotom
Poochyena,Galvantula,Galvantula
GourgeistAverage Size,Qwilfish,Qwilfish
Remoraid,Pancham,Pancham
Cherubi,Stunfisk,Stunfisk
Hypno,Ledyba,Hypno
Skitty,Omanyte,Omanyte
Espurr,Seismitoad,Seismitoad
Snorlax,Roselia,Snorlax
Flygon,PinsirMega Pinsir,PinsirMega Pinsir
Rayquaza,Stoutland,Rayquaza
Alomomola,Terrakion,Terrakion
TyranitarMega Tyranitar,Luvdisc,TyranitarMega Tyranitar
Bulbasaur,Numel,Bulbasaur
Machop,Skorupi,Skorupi
Wooper,Onix,Onix
Skiddo,Slakoth,Skiddo
Lugia,Misdreavus,Lugia
Lunatone,Qwilfish,Qwilfish
AbomasnowMega Abomasnow,Bellossom,Bellossom
Kricketot,Cacnea,Cacnea
Azelf,MewtwoMega Mewtwo Y,MewtwoMega Mewtwo Y
Yveltal,Wingull,Yveltal
Krabby,Beedrill,Beedrill
Shroomish,Volbeat,Volbeat
Flareon,Electivire,Electivire
Chansey,Sunkern,Chansey
Serperior,Gardevoir,Serperior
Magnemite,Pichu,Magnemite
Larvitar,Vigoroth,Vigoroth
Umbreon,Goomy,Umbreon
Bouffalant,Woobat,Bouffalant
Ekans,Minccino,Minccino
MawileMega Mawile,Magmar,Magmar
Dwebble,Chespin,Dwebble
Spoink,Gorebyss,Gorebyss
Masquerain,Forretress,Masquerain
CharizardMega Charizard X,Weezing,CharizardMega Charizard X
Amoonguss,Rapidash,Rapidash
Latias,Vanillish,Latias
Machoke,Furfrou,Furfrou
Dwebble,Slowpoke,Dwebble
Heatran,Moltres,Moltres
Dragalge,Spheal,Dragalge
Blitzle,Cleffa,Blitzle
MeowsticMale,Tyrantrum,Tyrantrum
Escavalier,MewtwoMega Mewtwo X,MewtwoMega Mewtwo X
Ponyta,Pignite,Ponyta
Skitty,Breloom,Breloom
Fearow,Beedrill,Fearow
Barboach,Ursaring,Ursaring
Articuno,Scyther,Scyther
GalladeMega Gallade,Pachirisu,GalladeMega Gallade
Ducklett,Flabébé,Ducklett
Sceptile,Seviper,Sceptile
Remoraid,Feraligatr,Feraligatr
Masquerain,Haxorus,Haxorus
Numel,Burmy,Numel
Kakuna,Jynx,Jynx
Durant,Joltik,Durant
Crawdaunt,Misdreavus,Misdreavus
Carracosta,Bronzong,Bronzong
Weezing,Kecleon,Weezing
Seedot,Doublade,Doublade
Azurill,Slowking,Slowking
Froakie,Clefable,Clefable
Patrat,Kirlia,Kirlia
Whismur,Kangaskhan,Kangaskhan
Porygon2,Nidoking,Nidoking
BanetteMega Banette,Archen,BanetteMega Banette
Pidove,Yamask,Yamask
Snorlax,Piplup,Snorlax
Mareep,Regigigas,Regigigas
Croagunk,Miltank,Miltank
Medicham,Eevee,Medicham
Shelmet,Horsea,Horsea
Solrock,Donphan,Donphan
Forretress,Sentret,Forretress
Lileep,Golbat,Golbat
GardevoirMega Gardevoir,Lampent,GardevoirMega Gardevoir
Spoink,ThundurusTherian Forme,ThundurusTherian Forme
Pineco,Wailmer,Wailmer
Rapidash,Hitmonchan,Rapidash
Munchlax,Vileplume,Vileplume
Accelgor,Hypno,Accelgor
Sneasel,Archeops,Archeops
Illumise,Exeggcute,Illumise
Smoochum,Phanpy,Phanpy
Clamperl,Dunsparce,Dunsparce
Shuckle,Bayleef,Bayleef
Poliwhirl,Grotle,Grotle
GourgeistLarge Size,Pichu,GourgeistLarge Size
Ursaring,Quilladin,Quilladin
Wartortle,Slakoth,Wartortle
Venusaur,Wooper,Venusaur
Noctowl,Regigigas,Regigigas
Teddiursa,Krokorok,Krokorok
Marill,Shiftry,Shiftry
Musharna,Kecleon,Kecleon
Ferrothorn,Phanpy,Ferrothorn
Dewgong,Slakoth,Dewgong
ThundurusIncarnate Forme,Kadabra,ThundurusIncarnate Forme
Liepard,Shuppet,Liepard
Froslass,Hippopotas,Froslass
Psyduck,Exeggcute,Psyduck
Hariyama,Lopunny,Lopunny
Exeggcute,Mienshao,Mienshao
Chansey,Beedrill,Beedrill
Kangaskhan,Klinklang,Kangaskhan
Porygon-Z,Scyther,Scyther
Litwick,Scraggy,Scraggy
Shinx,Foongus,Foongus
Glameow,MeowsticMale,MeowsticMale
Zygarde50% Forme,Espeon,Espeon
Clamperl,TornadusTherian Forme,TornadusTherian Forme
Bayleef,Yamask,Bayleef
Hoppip,Duskull,Duskull
Trapinch,ShayminSky Forme,ShayminSky Forme
Dragonite,Persian,Dragonite
Frogadier,Chespin,Chespin
Emolga,Chimchar,Emolga
Froslass,Huntail,Huntail
Dragalge,Elekid,Dragalge
Gengar,Durant,Durant
Jirachi,AegislashShield Forme,Jirachi
Haxorus,Politoed,Politoed
Masquerain,Ho-oh,Ho-oh
KeldeoResolute Forme,Pidgey,KeldeoResolute Forme
Quilava,Shuckle,Quilava
Silcoon,Phantump,Phantump
Sawk,BeedrillMega Beedrill,BeedrillMega Beedrill
Remoraid,Cinccino,Cinccino
Helioptile,Ariados,Ariados
Mesprit,Archeops,Archeops
Weavile,Plusle,Weavile
Ursaring,Seaking,Seaking
Smoochum,Mankey,Mankey
Tyranitar,Igglybuff,Tyranitar
Chikorita,Chespin,Chespin
Jolteon,DeoxysSpeed Forme,DeoxysSpeed Forme
Cascoon,Kadabra,Kadabra
Floatzel,Whimsicott,Whimsicott
Toxicroak,Larvesta,Toxicroak
Elgyem,Tyrogue,Elgyem
Cradily,Gastly,Cradily
Milotic,Dedenne,Dedenne
Octillery,Primeape,Primeape
Reshiram,Noibat,Reshiram
Shedinja,Lampent,Lampent
Gallade,Houndoom,Houndoom
Foongus,Absol,Absol
MedichamMega Medicham,Clamperl,MedichamMega Medicham
AltariaMega Altaria,Liepard,AltariaMega Altaria
Cleffa,SteelixMega Steelix,SteelixMega Steelix
Woobat,Froslass,Froslass
LandorusTherian Forme,Chinchou,LandorusTherian Forme
Cobalion,Diancie,Cobalion
Krookodile,Pidove,Krookodile
Machoke,Hitmonchan,Hitmonchan
Arbok,Porygon-Z,Porygon-Z
Vibrava,Shellder,Shellder
Skorupi,Piloswine,Piloswine
Spheal,Bisharp,Bisharp
